iter	Passed	Remaining
401	18774	27928
402	18819	27879
403	18865	27831
404	18911	27783
405	18956	27734
406	19003	27688
407	19056	27651
408	19102	27602
409	19164	27577
410	19246	27582
411	19304	27550
412	19357	27512
413	19404	27466
414	19456	27426
415	19505	27382
416	19555	27340
417	19604	27296
418	19650	27248
419	19698	27202
420	19752	27165
421	19799	27118
422	19846	27072
423	19892	27023
424	19940	26978
425	19985	26929
426	20032	26882
427	20083	26841
428	20129	26792
429	20175	26744
430	20224	26700
431	20270	26652
432	20319	26607
433	20372	26568
434	20418	26520
435	20464	26472
436	20509	26423
437	20559	26380
438	20610	26338
439	20657	26291
440	20706	26246
441	20754	26201
442	20801	26154
443	20848	26107
444	20891	26056
445	20941	26012
446	20996	25975
447	21049	25936
448	21095	25888
449	21141	25840
450	21189	25793
451	21231	25741
452	21279	25694
453	21325	25647
454	21375	25603
455	21416	25549
456	21462	25501
457	21506	25451
458	21551	25401
459	21600	25357
460	21645	25308
461	21691	25260
462	21740	25215
463	21785	25166
464	21836	25123
465	21884	25078
466	21931	25031
467	21977	24982
468	22023	24934
469	22073	24891
470	22117	24841
471	22162	24792
472	22211	24746
473	22255	24697
474	22300	24647
475	22347	24601
476	22394	24554
477	22443	24509
478	22487	24459
479	22534	24411
480	22580	24363
481	22626	24316
482	22671	24267
483	22720	24222
484	22769	24178
485	22815	24129
486	22871	24092
487	22918	24045
488	22971	24004
489	23016	23956
490	23063	23908
491	23109	23861
492	23156	23813
493	23208	23771
494	23253	23723
495	23298	23674
496	23345	23627
497	23389	23577
498	23435	23529
499	23481	23481
500	23527	23433
501	23572	23384
502	23618	23336
503	23663	23287
504	23709	23239
505	23754	23190
506	23803	23145
507	23849	23098
508	23898	23053
509	23947	23007
510	23994	22961
511	24042	22915
512	24089	22868
513	24135	22820
514	24180	22772
515	24229	22727
516	24278	22681
517	24323	22633
518	24370	22586
519	24417	22538
520	24463	22491
521	24509	22443
522	24555	22395
523	24601	22348
524	24648	22300
525	24693	22252
526	24739	22204
527	24785	22156
528	24825	22103
529	24871	22055
530	24917	22007
531	24965	21962
532	25013	21916
533	25055	21865
534	25101	21817
535	25146	21768
536	25192	21721
537	25238	21673
538	25285	21626
539	25333	21580
540	25378	21531
541	25424	21483
542	25469	21435
543	25515	21387
544	25560	21339
545	25606	21291
546	25652	21244
547	25698	21196
548	25744	21148
549	25789	21100
550	25834	21051
551	25879	21003
552	25923	20954
553	25969	20906
554	26015	20859
555	26064	20814
556	26111	20767
557	26157	20719
558	26204	20672
559	26248	20624
560	26293	20575
561	26340	20528
562	26386	20481
563	26431	20433
564	26475	20383
565	26523	20337
566	26568	20289
567	26615	20243
568	26666	20198
569	26715	20153
570	26764	20108
571	26812	20062
572	26858	20014
573	26903	19967
574	26949	19919
575	26998	19873
576	27042	19825
577	27088	19777
578	27139	19733
579	27184	19685
580	27230	19638
581	27279	19592
582	27329	19547
583	27374	19499
584	27423	19454
585	27473	19409
586	27522	19364
587	27567	19316
588	27617	19271
589	27663	19224
590	27713	19178
591	27758	19130
592	27813	19089
593	27859	19041
594	27904	18993
595	27949	18945
596	27994	18897
597	28043	18852
598	28088	18803
599	28136	18757
600	28181	18709
601	28227	18661
602	28279	18618
603	28326	18571
604	28374	18525
605	28419	18477
606	28464	18429
607	28510	18382
608	28558	18335
609	28607	18289
610	28652	18242
611	28704	18198
612	28750	18150
613	28794	18102
614	28839	18053
615	28887	18007
616	28934	17960
617	28982	17914
618	29027	17866
619	29076	17820
620	29122	17773
621	29172	17728
622	29221	17682
623	29267	17635
624	29315	17589
625	29363	17542
626	29408	17495
627	29455	17447
628	29500	17400
629	29547	17353
630	29597	17308
631	29647	17263
632	29695	17216
633	29742	17170
634	29791	17124
635	29837	17077
636	29881	17028
637	29927	16980
638	29973	16933
639	30017	16885
640	30063	16837
641	30110	16790
642	30155	16742
643	30202	16695
644	30246	16647
645	30290	16598
646	30341	16554
647	30387	16506
648	30433	16459
649	30477	16410
650	30522	16362
651	30567	16315
652	30612	16267
653	30661	16221
654	30706	16173
655	30750	16125
656	30795	16077
657	30839	16028
658	30884	15981
659	30932	15935
660	30982	15889
661	31027	15841
662	31072	15793
663	31116	15745
664	31164	15699
665	31207	15650
666	31253	15603
667	31300	15556
668	31349	15510
669	31396	15463
670	31439	15415
671	31484	15367
672	31529	15319
673	31576	15273
674	31621	15225
675	31671	15179
676	31715	15131
677	31766	15086
678	31811	15038
679	31856	14991
680	31901	14943
681	31946	14895
682	31993	14849
683	32040	14802
684	32087	14755
685	32133	14708
686	32178	14660
687	32224	14613
688	32269	14565
689	32318	14519
690	32363	14472
691	32407	14424
692	32454	14377
693	32499	14329
694	32544	14281
695	32589	14234
696	32634	14186
