iter	Logloss
0	0.6656861769
1	0.6397002333
2	0.614950149
3	0.592342716
4	0.5718239473
5	0.5520828464
6	0.5336051063
7	0.5162204456
8	0.5000514147
9	0.4849068679
10	0.4707786116
11	0.4577552801
12	0.4452808064
13	0.4343414391
14	0.4236285952
15	0.4134622909
16	0.403908581
17	0.3954153041
18	0.3871622696
19	0.3792249325
20	0.3722346555
21	0.3654393988
22	0.3588558032
23	0.3529671164
24	0.3472562376
25	0.3417058274
26	0.3366017314
27	0.3321002582
28	0.3278408375
29	0.3237110175
30	0.3196863771
31	0.3161785834
32	0.3126864777
33	0.3095239471
34	0.3064809821
35	0.3035869895
36	0.3007987482
37	0.2982491931
38	0.2957505129
39	0.2933672381
40	0.2912899428
41	0.2894299931
42	0.2875138016
43	0.2857556017
44	0.2840237284
45	0.282304939
46	0.2809394156
47	0.2795322268
48	0.2781823597
49	0.2768491015
50	0.2755716405
51	0.2743407989
52	0.2733410219
53	0.2723380693
54	0.2713059636
55	0.2704139703
56	0.2694685932
57	0.2686870828
58	0.2678491401
59	0.2671015462
60	0.2662867862
61	0.2655992768
62	0.2648914904
63	0.2642763555
64	0.2637245283
65	0.2631407375
66	0.2625788275
67	0.2620070409
68	0.2614848431
69	0.2610002298
70	0.2605602193
71	0.2600805284
72	0.2596655584
73	0.2592606395
74	0.2589061192
75	0.2585414842
76	0.2582168314
77	0.257925333
78	0.2576475695
79	0.2573354766
80	0.2570598886
81	0.2568164069
82	0.2565662721
83	0.2562883499
84	0.2560389773
85	0.2557596418
86	0.2555760699
87	0.2553725705
88	0.255152589
89	0.2549216673
90	0.2547449232
91	0.2545370253
92	0.2543402107
93	0.2541497793
94	0.2539750676
95	0.2538193149
96	0.2536535111
97	0.2535079207
98	0.2533536606
99	0.2532015124
100	0.2530528574
101	0.2529099346
102	0.2527625658
103	0.2526309167
104	0.2525167976
105	0.2523990105
106	0.2523048984
107	0.2522033074
108	0.2521069405
109	0.2520016975
110	0.251893898
111	0.2517852093
112	0.2516824751
113	0.2515735642
114	0.2514974107
115	0.2514306572
116	0.2513696201
117	0.2512877503
118	0.25119575
119	0.2511052105
120	0.251041601
121	0.2509757527
122	0.2508931525
123	0.2508132199
124	0.2507336048
125	0.2506698525
126	0.2506106096
127	0.2505486515
128	0.2504864711
129	0.2504378669
130	0.2503684141
131	0.250311553
132	0.2502440374
133	0.2501880655
134	0.2501201212
135	0.2500531931
136	0.2500050653
137	0.249971625
138	0.2499214965
139	0.2498604593
140	0.2498187781
141	0.2497547082
142	0.2497211092
143	0.2496776496
144	0.2496401603
145	0.2495907145
146	0.2495483029
147	0.2495010801
148	0.2494524124
149	0.249395202
150	0.249356363
151	0.2492953576
152	0.2492565187
153	0.2492100263
154	0.2491693931
